0,97404
1,97230
2,96931
3,96816
4,96607
5,96464
6,96237
7,96060
8,95892
9,95753
10,95582
11,95418
12,95188
13,95018
14,94890
15,94793
16,94634
17,94514
18,94386
19,94283
20,94176
21,94072
22,93950
23,93833
24,93741
25,93671
26,93559
27,93451
28,93320
29,93203
30,93092
31,92998
32,92873
33,92771
34,92659
35,92572
36,92465
37,92373
38,92277
39,92195
40,92117
41,92083
42,92035
43,91987
44,91927
45,91878
46,91824
47,91790
48,91734
49,91693
50,91652
51,91626
52,91584
53,91560
54,91525
55,91504
56,91474
57,91452
58,91420
59,91412
60,91390
61,91382
62,91373
63,91376
64,91368
65,91363
66,91347
67,91341
68,91323
69,91328
70,91315
71,91321
72,91295
73,91283
74,91261
75,91249
76,91224
77,91211
78,91194
79,91197
80,91185
81,91186
82,91157
83,91144
84,91120
85,91096
86,91059
87,91062
88,91044
89,91037
90,91021
91,91016
92,90996
93,91009
94,91001
95,91001
96,90978
97,90981
98,90960
99,90943
100,90902
101,90872
102,90839
103,90828
104,90812
105,90808
106,90804
107,90809
108,90794
109,90794
110,90786
111,90787
112,90781
113,90790
114,90784
115,90796
116,90794
117,90795
118,90788
119,90792
120,90780
121,90788
122,90783
123,90791
124,90789
125,90801
126,90788
127,90795
128,90785
129,90787
130,90781
131,90790
132,90784
133,90796
134,90794
135,90795
136,90788
137,90792
138,90780
139,90788
140,90783
141,90791
142,90789
143,90801
144,90788
145,90795
146,90785
147,90787
148,90781
149,90790
150,90784
151,90796
152,90794
153,90795
154,90788
155,90792
156,90780
157,90788
158,90783
159,90791
160,90789
161,90801
162,90788
163,90795
164,90785
165,90787
166,90781
167,90790
168,90784
169,90796
170,90794
171,90795
172,90788
173,90792
174,90780
175,90788
176,90783
177,90791
178,90789
179,90801
180,90788
181,90795
182,90785
183,90787
184,90781
185,90790
186,90784
187,90796
188,90794
189,90795
190,90788
191,90792
192,90780
193,90788
194,90783
195,90791
196,90789
197,90801
198,90788
199,90795
200,90785
201,90787
202,90781
203,90790
204,90784
205,90796
206,90794
207,90795
208,90788
209,90792
210,90780
211,90788
212,90783
213,90791
214,90789
215,90801
216,90788
217,90795
218,90785
219,90787
220,90781
221,90790
222,90784
223,90796
224,90794
225,90795
226,90788
227,90792
228,90780
229,90788
230,90783
231,90791
232,90789
233,90801
234,90788
235,90795
236,90785
237,90787
238,90781
239,90790
240,90784
241,90796
242,90794
243,90795
244,90788
245,90792
246,90780
247,90788
248,90783
249,90791
250,90789
251,90801
252,90788
253,90795
254,90785
255,90787
256,90781
257,90790
258,90784
259,90796
260,90794
261,90795
262,90788
263,90792
264,90780
265,90788
266,90783
267,90791
268,90789
269,90801
270,90788
271,90795
272,90785
273,90787
274,90781
275,90790
276,90784
277,90796
278,90794
279,90795
280,90788
281,90792
282,90780
283,90788
284,90783
285,90791
286,90789
287,90801
288,90788
289,90795
290,90785
291,90787
292,90781
293,90790
294,90784
295,90796
296,90794
297,90795
298,90788
299,90792
300,90780
301,90788
302,90783
303,90791
304,90789
305,90801
306,90788
307,90795
308,90785
309,90787
310,90781
311,90790
312,90784
313,90796
314,90794
315,90795
316,90788
317,90792
318,90780
319,90788
320,90783
321,90791
322,90789
323,90801
324,90788
325,90795
326,90785
327,90787
328,90781
329,90790
330,90784
331,90796
332,90794
333,90795
334,90788
335,90792
336,90780
337,90788
338,90783
339,90791
340,90789
341,90801
342,90788
343,90795
344,90785
345,90787
346,90781
347,90790
348,90784
349,90796
350,90794
351,90795
352,90788
353,90792
354,90780
355,90788
356,90783
357,90791
358,90789
359,90801
360,90788
361,90795
362,90785
363,90787
364,90781
365,90790
366,90784
367,90796
368,90794
369,90795
370,90788
371,90792
372,90780
373,90788
374,90783
375,90791
376,90789
377,90801
378,90788
379,90795
380,90785
381,90787
382,90781
383,90790
384,90784
385,90796
386,90794
387,90795
388,90788
389,90792
390,90780
391,90788
392,90783
393,90791
394,90789
395,90801
396,90788
397,90795
398,90785
399,90787
400,90781
401,90790
402,90784
403,90796
404,90794
405,90795
406,90788
407,90792
408,90780
409,90788
410,90783
411,90791
412,90789
413,90801
414,90788
415,90795
416,90785
417,90787
418,90781
419,90790
420,90784
421,90796
422,90794
423,90795
424,90788
425,90792
426,90780
427,90788
428,90783
429,90791
430,90789
431,90801
432,90788
433,90795
434,90785
435,90787
436,90781
437,90790
438,90784
439,90796
440,90794
441,90795
442,90788
443,90792
444,90780
445,90788
446,90783
447,90791
448,90789
449,90801
450,90788
451,90795
452,90785
453,90787
454,90781
455,90790
456,90784
457,90796
458,90794
459,90795
460,90788
461,90792
462,90780
463,90788
464,90783
465,90791
466,90789
467,90801
468,90788
469,90795
470,90785
471,90787
472,90781
473,90790
474,90784
475,90796
476,90794
477,90795
478,90788
479,90792
480,90780
481,90788
482,90783
483,90791
484,90789
485,90801
486,90788
487,90795
488,90785
489,90787
490,90781
491,90790
492,90784
493,90796
494,90794
495,90795
496,90788
497,90792
498,90780
499,90788
500,90783
501,90791
502,90789
503,90801
504,90788
505,90795
506,90785
507,90787
508,90781
509,90790
510,90784
511,90796
512,90794
513,90795
514,90788
515,90792
516,90780
517,90788
518,90783
519,90791
520,90789
521,90801
522,90788
523,90795
524,90785
525,90787
526,90781
527,90790
528,90784
529,90796
530,90794
531,90795
532,90788
533,90792
534,90780
535,90788
536,90783
537,90791
538,90789
539,90801
540,90788
541,90795
542,90785
543,90787
544,90781
545,90790
546,90784
547,90796
548,90794
549,90795
550,90788
551,90792
552,90780
553,90788
554,90783
555,90791
556,90789
557,90801
558,90788
559,90795
560,90785
561,90787
562,90781
563,90790
564,90784
565,90796
566,90794
567,90795
568,90788
569,90792
570,90780
571,90788
572,90783
573,90791
574,90789
575,90801
576,90788
577,90795
578,90785
579,90787
580,90781
581,90790
582,90784
583,90796
584,90794
585,90795
586,90788
587,90792
588,90780
589,90788
590,90783
591,90791
592,90789
593,90801
594,90788
595,90795
596,90785
597,90787
598,90781
599,90790
600,90784
601,90796
602,90794
603,90795
604,90788
605,90792
606,90780
607,90788
608,90783
609,90791
610,90789
611,90801
612,90788
613,90795
614,90785
615,90787
616,90781
617,90790
618,90784
619,90796
620,90794
621,90795
622,90788
623,90792
624,90780
